번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,000660,SK하이닉스,반도체와반도체장비,13398804.0,31.89,7.0,472063.0,2477061.0,93.14,45.95,4.2473102107134,24.89
0,005935,삼성전자우,반도체와반도체장비,1563821.0,29.69,5.0,436010.0,3399562.0,50.07,29.94,6.796981720602738,24.69
0,034020,두산에너빌리티,기계,819918.0,969.7,276.0,7627.0,11228.0,3.73,129.1,0.47213845548708533,693.7
0,005930,삼성전자,반도체와반도체장비,16691125.0,43.49,7.0,436010.0,3399562.0,50.07,29.94,6.796981720602738,36.49
0,000270,기아,자동차,682052.0,9.14,8.0,90781.0,100991.0,12.96,61.76,0.11246846807151267,1.1400000000000006
0,005380,현대차,자동차,1322735.0,18.28,16.0,114679.0,120775.0,8.8,188.95,0.05315707322177565,2.280000000000001
0,402340,SK스퀘어,복합기업,1566346.0,17.86,5.0,87974.0,320573.0,80.37,9.01,2.643951622070157,12.86
0,373220,LG에너지솔루션,전기제품,1095120.0,,-346.0,13461.0,11760.0,-1.59,129.0,-0.12636505460218406,
0,028260,삼성물산,복합기업,733004.0,31.91,28.0,32927.0,36847.0,5.28,50.5,0.11905123454915412,3.91
0,329180,HD현대중공업,조선,718984.0,43.63,25.0,20375.0,37440.0,26.53,180.07,0.8375460122699387,18.630000000000003
0,012450,한화에어로스페이스,우주항공과국방,678059.0,46.02,31.0,30893.0,42950.0,20.34,221.38,0.3902825882886092,15.020000000000003
0,207940,삼성바이오로직스,제약,674922.0,54.87,34.0,20692.0,25030.0,21.89,48.44,0.20964624009278943,20.869999999999997
0,009150,삼성전기,전자장비와기기,672243.0,98.91,55.0,9133.0,15566.0,12.49,48.98,0.7043687725829411,43.91
0,006400,삼성SDI,전기제품,551205.0,,133.0,-17224.0,-506.0,1.94,79.27,-0.9706223873664654,
0,032830,삼성생명,생명보험,599000.0,26.01,24.0,25805.0,30018.0,3.53,440.89,0.16326293354001153,2.0100000000000016
0,105560,KB금융,은행,592087.0,10.51,9.0,85177.0,90398.0,10.51,1211.73,0.06129588973549205,1.5099999999999998
0,012330,현대모비스,자동차부품,501751.0,13.94,12.0,33575.0,37187.0,8.26,43.05,0.10758004467609839,1.9399999999999995
0,267260,HD현대일렉트릭,전기장비,49962.0,67.01,50.0,9953.0,12526.0,41.17,134.63,0.258515020596805,17.010000000000005
0,055550,신한지주,은행,461364.0,9.64,8.0,70234.0,75974.0,9.3,1201.94,0.08172679898624602,1.6400000000000006
0,010120,LS ELECTRIC,전기장비,456000.0,159.08,92.0,4264.0,6451.0,21.94,131.48,0.5128986866791745,67.08000000000001
0,006800,미래에셋증권,증권,444296.0,36.86,22.0,19151.0,31240.0,17.79,1015.01,0.6312464101091326,14.86
0,068270,셀트리온,제약,424568.0,43.02,29.0,11685.0,17666.0,8.34,28.71,0.5118528027385536,14.020000000000003
0,034730,SK,석유와가스,413990.0,26.12,13.0,18185.0,46060.0,12.28,149.17,1.532856750068738,13.120000000000001
0,005490,POSCO홀딩스,철강,405717.0,63.33,22.0,18271.0,32719.0,3.34,68.64,0.7907613157462645,41.33
0,298040,효성중공업,전기장비,404033.0,77.72,51.0,7470.0,10942.0,29.09,190.31,0.4647925033467202,26.72
0,042660,한화오션,조선,399869.0,32.1,26.0,11676.0,18102.0,22.03,226.17,0.5503597122302157,6.100000000000001
0,042700,한미반도체,반도체와반도체장비,381249.0,179.13,179.13,2514.0,2514.0,34.76,17.82,0.0,0.0
0,035420,NAVER,양방향미디어와서비스,331788.0,17.09,16.0,22081.0,24324.0,7.1,41.9,0.101580544359404,1.0899999999999999
0,086790,하나금융지주,은행,347350.0,8.97,8.0,53509.0,59850.0,9.6,1377.89,0.11850342932964542,0.9700000000000006
0,009540,HD한국조선해양,조선,335465.0,15.47,10.0,39045.0,55376.0,23.73,133.86,0.41826098091945196,5.470000000000001
0,010130,고려아연,비철금속,318939.0,39.67,23.0,12319.0,21835.0,11.67,82.36,0.7724652975079147,16.67
0,051910,LG화학,화학,298959.0,,126.0,11809.0,14982.0,0.79,114.54,0.26869336946396816,
0,010140,삼성중공업,조선,298760.0,54.76,28.0,8622.0,15275.0,22.98,265.05,0.771630712131756,26.759999999999998
0,069500,KODEX 200,,261698.0,,,,,,,,
0,015760,한국전력,전기유틸리티,277328.0,3.25,3.0,134906.0,136375.0,15.55,416.85,0.010889063496063889,0.25
0,000150,두산,복합기업,278534.0,485.05,80.0,10627.0,17260.0,25.15,169.14,0.6241648630845957,405.05
0,066570,LG전자,전자제품,255243.0,29.45,15.0,24784.0,38227.0,7.7,140.33,0.542406391220142,14.45
0,003670,포스코퓨처엠,화학,249049.0,725.39,698.0,328.0,884.0,0.88,102.65,1.6951219512195124,27.389999999999986
0,064350,현대로템,우주항공과국방,239567.0,31.11,26.0,10056.0,11556.0,26.17,206.39,0.14916467780429588,5.109999999999999
0,316140,우리금융지주,은행,238575.0,7.7,8.0,36748.0,43464.0,8.39,1488.67,0.1827582453466856,-0.2999999999999998
0,267250,HD현대,조선,231845.0,24.08,14.0,60996.0,82225.0,15.72,159.39,0.3480392156862746,10.079999999999998
0,000810,삼성화재,손해보험,225470.0,12.41,11.0,26591.0,29128.0,9.5,352.98,0.09540822082659539,1.4100000000000001
0,096770,SK이노베이션,석유와가스,224333.0,,11.0,4487.0,42802.0,8.89,190.2,8.539112993091152,
